NAME
Route 25
NPCS
route24-item1 orb 12 7
INTERACTIONS
GIVE_ITEM:TM45|DEACTIVATE:route24-item1
END
TRAINERS
END
TELEPORT
0 8 route24 22 6
0 9 route24 22 7
0 10 route24 22 8
0 12 route24 22 10
0 13 route24 22 11
0 15 route24 22 13
ENCOUNTERS
69 11 48 63 14 16 43 27
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
54 98 118
LEVELS
10-17
DATA
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   2   3   2   3 158  96  96  96  96  96  96  96  96  96  96  97  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   3   2   3   2 158  96  96  96  96  96  96  96  96  96  96  97  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   2   3   2   3 158  96  96  96  96  96  96  96  96  96  96  97  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   3   2   3   2 158  96  96  96  96  96  96  96  96  96  96  97  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   2   3   2   3 158  96  96  96  96  96  96  96  96  96  96  97  81  81
96   96  96  96  96  96  96  96  96 159  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  98   8   9   9  13 162  99  99  99  99  99  99  99  99  99  99  98  81  81
96   96  96  96  96  96  96  96  96  97   1  76   1   1   1  76   1   1   1   1   1  76   1   1   1   1   1  76  93  93  93  93  93  93  93  93   1   0  56  56  56  56  56  56   7  10  11  12  56  56  56  56  56  56   1   1  81  81  81  81  81  81
99   99  99  99  99  99  99  99  99  98   1  76   1   1   1  76   1   1   1   1   1  76   1   1   1   1   1  76  94  94  94  94  94  94  94  94   1   0  55  55  55  55  55   5   6  15  11  14  55  55  55  55  55  55   0   0  81  81  81  81  81  81
1     1   4   4   4   4   4   4   1   1   1   1   1   1   1   1   1   1   1   1   1  76  76  76   1  76  93  93  93  93   1  76  93  93  93  93  93  93  93  93  93  93 163 163 163 163 163 163 163 163   1   1   1   1   1   0  81  81  81  81  81  81
1     1   4   4   4   4   4   4   1   1   1   1  76   1  76   1  76   1   1   1   1  76   1   1   1  76  94  94  94  94   1  76  94  94  94  94  94  94  94  94  94  94 163 163 163 163 163 163 163 163   1   1   1   1   1   0  81  81  81  81  81  81
1     1   1   1   1   1   1   1   1   1  76  76   1   1   1   1  76   1  76  76   1  76   1   1  93  93  93  93   1   1  93  93  93  93  93  93  93  93  93  93  93  93 163 163 163 163 163 163 163 163   1   1   1   1   1   0  81  81  81  81  81  81
77   77  77  77  77  77  77  77  76   1   1   1  76   1   1   1  76   1   1   1   1  76   1   1  94  94  94  94  76  76  94  94  94  94  94  94  94  94  94  94  94  94 163 163 163 163 163 163 163 163   1   1   1   1   1   0  81  81  81  81  81  81
56   56  56  56  56  56  56  56  56  56  76   1  76  76   1   1  76   1   1   1   1   1   1   1  93  93  93  93  76   1  93  93  93  93  93  93  93  93  92  88  88  88  88  88 238 238 238 238  88  88  88  88  88  91   1   0  81  81  81  81  81  81
56   56  56  56  56  56  56  56  56  56  76   1   1   1   1   1  76   1  76   1   1   1   1   1  94  94  94  94  76   1  94  94  94  94  94  94  94  94  90  81  81  81  81  81 238 238 238 238  81  81  81  81  81  89   1   0  81  81  81  81  81  81
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  90  81  81  81  81  81 238 238 238 238  81  81  81  81  81  89   1   0  81  81  81  81  81  81
1     1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  90  81  81  81  81  81 238 238 238 238  81  81  81  81  81  89   1   0  81  81  81  81  81  81
106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 107   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0  81  81  81  81  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  81  81  81  81  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  81  81  81  81  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81
