NAME
Viridian City Gym
NPCS
viridian-gym-board1 blank 15 15
INTERACTIONS
MENU:ALERT:VIRIDIAN CITY POK{e-accent}MON GYM|MENU:ALERT:LEADER: GIOVANNI|MENU:ALERT:WINNING TRAINERS: {RIVAL_NAME}|NO_ADVANCE
MENU:ALERT:VIRIDIAN CITY POK{e-accent}MON GYM|MENU:ALERT:LEADER: GIOVANNI|MENU:ALERT:WINNING TRAINERS: {PLAYER_NAME} {NEWLINE} {RIVAL_NAME}
END
viridian-gym-board2 blank 18 15
INTERACTIONS
MENU:ALERT:VIRIDIAN CITY POK{e-accent}MON GYM|MENU:ALERT:LEADER: GIOVANNI|MENU:ALERT:WINNING TRAINERS: {RIVAL_NAME}|NO_ADVANCE
MENU:ALERT:VIRIDIAN CITY POK{e-accent}MON GYM|MENU:ALERT:LEADER: GIOVANNI|MENU:ALERT:WINNING TRAINERS: {PLAYER_NAME} {NEWLINE} {RIVAL_NAME}
END
viridian-gym-clerk clerk 16 15 DOWN
INTERACTIONS
MENU:ALERT:Yo! Champ in making!|MENU:ALERT:REWRITE THIS
MENU:ALERT:REWRITE THIS
END
TRAINERS
cinnabar-gym-man1 90 0.99 0.99 BURGLAR burglar.png {BURGLAR: I surrender!}{} 94-38:57:FIRE SPIN,HYPNOSIS,CONFUSE RAY,DREAM EATER|101-59:57:FLAMETHROWER,THUNDER,EXPLOSION,SCREECH|126-126:57
END
TELEPORT
16 18 viridian-city 32 8
17 18 viridian-city 32 8
DATA
626  83  83  83  83 626  83  83  83  83  83  83  83  83  83  83  83  83  83  83
599  47  47  47  47 599  47  47  47  47  47 608  47  47  47  47  47  47  47 610
626  47  47  47  47 626  47  47  47  47  47 612  47  47  47  47  47 608 609 608
599  47  47  47  47 634 633  47 594 633  47 626 631 633 631 633 631 595  47  47
626  47  47  47  47  47  47  47 634  47  47 634  47  47  47  47  47 626  47  47
628 633 631 633 631 595  47 626  47 626  47  47  47  47  47  47  47 599  47  47
47   47  47  47 609 626  47 626  47 634 631 633 631 633 633  47  47 626  47  47
608  47  47  47  47 634  47 599  47  47  47  47  47  47  47  47  47 599  47  47
47   47 392 393  47 626  47 626  47  47  47  47  47  47 631 595  47 626  47  47
47  608 388 389  47 599  47 599  47  47  47  47  47  47  47 599  47 599  47  47
47   47 388 389  47 634  47 626  47  47  47  47  47  47  47 626 609 626  47  47
47   47 388 389  47  47  47 599  47  47  47  47  47  47  47 634  47 634 608 611
47   47 388 389  47 631 631 633 631 633 631 633 631 633  47  47 608  47  47  47
47   47 388 389 608 612  47  47  47  47  47  47  47 608  47  47  47  47  47  47
47   47 388 389 612  47  47  47  47  47  47  47  47 608  47 199  47  47 199  47
611 611 628 630 631 633 631 633 631 633 631 633 631 633  47 200  47  47 200  47
47   47  47  47  47  47  47 608  47  47  47  47  47 610  47  47  47  47  47  47
47  608  47  47  47  47  47  47  47  47  47  47  47 610  47  47  54  54  47  47
82   82  82  82  82  82  82  82  82  82  82  82  82  82  82  82 166 166
