NAME
Indigo Plateau
TELEPORT
5 18 route23 14 1
6 18 route23 15 1
5 4 indigo-center 8 11
6 4 indigo-center 9 11
NEIGHBORS
route23 -9 17
DATA
777 778 765 766 766 766 766 766 766 765 778 777
770 786 765 766 766 766 766 766 766 765 786 770
771 773 777 778 778 778 778 778 778 777 773 771
774   3 770 786 786 786 786 786 786 770 774   3
3   774 771 773 773 779 779 773 773 771   3 774
774   3 774   3 767 769 769 767 774   3 774   3
776 774   3 774 768 769 769 768   3 774   3 776
770 772 772 772 767 769 769 767 772 772 772 770
771 773 773 773 768 769 769 768 773 773 773 771
774   3 774   3 767 769 769 767 774   3 774   3
776 774   3 774 768 769 769 768   3 774   3 776
770 772 772 772 767 769 769 767 772 772 772 770
771 773 773 773 768 769 769 768 773 773 773 771
774   3 774   3 767 769 769 767 774   3 774   3
776 774   3 774 768 769 769 768   3 774   3 776
770 772 772 772 767 769 769 767 772 772 772 770
771 773 773 773 768 769 769 768 773 773 773 771
766 765 766 765 767 769 769 767 765 766 765 766
766 765 766 765 768 769 769 768 765 766 765 766
