NAME
Route 8
NPCS
route10-sign blank 13 9
INTERACTIONS
MENU:ALERT:ROCK TUNNEL
END
TRAINERS
route10-girl1 20 0.35 0.35 JR.TRAINER{FEMALE} jrtrainerf.png {JR.TRAINER{FEMALE}: I'm not up to it!}{} 16-16:21|17-17:21
END
TELEPORT
57 11 lavender-town 1 15
ENCOUNTERS
17 20 23 27 37 39 52 56 58 64 92 108
LEVELS
16-22
DATA
0     0   0   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97 158  96
0     0   0   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97 158  96
0     0   0   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97 158  96
0     0   0   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97 158  96
0     0   0   0 158  96  96  96  96  96  96 159  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  98 158  96
0     0   0   0 158  96  96  96  96  96  96  97   8   9   9  13  56  56  56  56  56  56   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0  76  76  76  76 158  96
0     0   0   0 162  99  99  99  99  99  99  98   7  15  11  12  56   5  78  78  78  78   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0  76  76  76  76 158  96
0     0   0   0   0   1   3   2   3   2   3   2   3   2   3   2   1   0  56  56  56  56   0   1   1   1 322 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 324   1   1   1   0   0   0   0   0  93  93  93  93 158  96
0     0   0   0   0   1   2   3   2   3   2   3   2   3   2   3   1   0  56  56  56  56   0   1   1   1 242 328 326 326 326 326 326 326 326 326 326 326 326 326 326 326 330 243   1   1   1   0   0   0   0   1  94  94  94  94 158  96
0     0   0   0   0   1   2   3  93  93  93  93  93  93   2   3   1   0  56  56  56  56   0   1   1   1 242 243   1   1   1   1   1   1   1   1   1   1   1   1   1   1 242 243   1   1   1   0   0   0   0   1   1   1   1   1 158  96
