NAME
Route 21
NPCS
route21-swimmer1 manswim 88 12 UP
FORCE_INTERACTION
0 -1
0 -2
0 -3
0 -4
END
INTERACTIONS
!:route20-swimmer1|MOVE_TO_PLAYER|MENU:ALERT:The water is shallow here.|BATTLE:route20-swimmer1|{NO_ADVANCE}{DISABLE_FORCE}
MENU:ALERT:I wish I could ride my POK{e-accent}MON.
END
TRAINERS
route20-swimmer1 5 0.35 0.35 SWIMMER swimmer.png {SWIMMER: Splash!}{} 91-91:48:SUPERSONIC,CLAMP,AURORA BEAM,LEER|91-91:50:SUPERSONIC,CLAMP,ICE BEAM,LEER
END
TELEPORT
6 87 cinnabar-island 6 1
7 87 cinnabar-island 7 1
8 87 cinnabar-island 8 1
9 87 cinnabar-island 9 1
10 87 cinnabar-island 10 1
11 87 cinnabar-island 11 1
12 87 cinnabar-island 12 1
13 87 cinnabar-island 13 1
14 87 cinnabar-island 14 1
15 87 cinnabar-island 15 1
16 87 cinnabar-island 16 1
17 87 cinnabar-island 17 1
18 87 cinnabar-island 18 1
19 87 cinnabar-island 19 1
9 0 pallet-town 9 17
10 0 pallet-town 10 17
11 0 pallet-town 11 17
12 0 pallet-town 12 17
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
73 90 119 120
LEVELS
42-48
DATA
4    4   4   4   4   0   0   1   1  90  81  81  89   0   0   0   0   0   0   0   0   0   0   0   0   4   4   4   4   4
0    0   0   0   0   0   0   0   0  90  81  81  89   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1    1   1   1   1   1   1   1   0  90  81  81  89   1   1   1   1   1   1   0   1   1   1   1   1   1   1   1   1   1
1    1   1   1   1   1   1   1   0  90  81  81  89   1   1  93  93  93  93   0   1   1   1   1   1   1   1   1   1   1
1    1   1   1   1   1   1   1   0  90  81  81  89   1   1  94  94  94  94   0   1   1   1   1   1   1   1   1   1   1
93  93  93  93  93  93  93   1   0  90  81  81  89   4   4   4   4   4   4   0   1  93  93   1   1   1   1   1   1   1
94  94  94  94  94  94  94   1   0  90  81  81  89   4   4   4   4   4   4   0   1  94  94   1   1   1   1   1   1   1
93  93  93  93  93  93  93   1   0  90  81  81  89   4   4   4   4   4   4   0   1   1   1   1   1   1   1   1   1   1
94  94  94  94  94  94  94   1   0  90  81  81  89   4   4   4   4   4   4   0   1   1   1   1   1   1   1   1   1   1
93  93  93  93  93  93  93   1   0  90  81  81  89   4   4   4   4   4   4   0   1   1   1   1   1   1   1   1   1   1
94  94  94  94  94  94  94   1   0  90  81  81  89   4   4   4   4   4   4   0   1   1   1   1   1   1   1   1   1   1
93  93  93  93  93  93  93   1   0  90  81  81  87  88  88  88  88  88  88 656  88  88  88  88  88  88  88  88  88  88
94  94  94  94  94  94  94   1   0  90  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81
1    1   1   1   1   1   1   1   0  90  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81
0    0   0   0   0   0   0   0   0  90  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81
81  81  81  81  81 656  88  88  88  86  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81 656 656 656 656 656 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81 238 238 238 238  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81 238 238 238 238  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81 261 261 261 261  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81
