NAME
Cerulean City
NPCS
viridian-city-boy boy 10 20 WANDER
INTERACTIONS
MENU:ALERT:Those POK{e-accent} BALLs at your waist!{NEWLINE}You have POK{e-accent}MON!|MENU:ALERT:It's great that you can carry and use POK{e-accent}MON any time, anywhere!
END
TELEPORT
20 37 route1 13 1
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
54 98 118 119
LEVELS
6-12
DATA
96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81   0 238 238   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81   0 238 238   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81   0 238 238   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81   0 238 238   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  81  81  81  81  81   0 238 238   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96 159  99  99  99  99  99  99  99  98  81  81  81  81  81   0   1   1   0   0  77  77   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  97  81  81  81  81  81  81  81  81  81  81  81  81  81   0   1   1   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  97  81  81  81  81  81  81  81  81  81  81  81  81  81   0   1   1   0   1   1   1   0  81  81  81  81  81  81  81  81  81  81  81  81  81
96  96  96  96  96  96  96  97  81   0  76  76  76  76  76  76  76  76  76  76  76  76   1   1  76   1   1  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1
96  96  96  96  96  96  96  97  81   0   1   1   1   1   1   1   1   1   1   1   1  76   1   1  76   1   1  76   1   1   1   1   1   1   1   1  76  76  76  76  76   1
96  96  96  96  96  96  96  97  81   0 163 163 163 163 163 163 163 163 163 163   1  76   1   1  76   1   1  76 163 163 163 163 163 163 163 163  76  76  76  76  76   1
96  96  96  96  96  96  96  97  81   0 163 163 163 163 163 163 163 163 163 163   1  76   1   1  76   1   1  76 163 163 163 163 163 163 163 163  76  76  76  76  76   1
96  96  96  96  96  96  96  97  81   0   8   9   9   9   9  13   8   9   9   9   9  13   2   3   2   3   2   3   8   9   9   9   9  13   2   3   8   9   9   9   9  13
99  99  99  99  99  99 167  98  81   0   7  15 239  10  11  12   7  10 239  10  11  12   3   2   3   2   3   2   7  15 239  10  11  12   3   2   7  10 239  10  11  12
56  56  56  56  56  56  56  56  81   0   2   3   2   3   2   3   2   3   2   3   2   3   2   3   1   1   2   3   1   1   1   1   1   1  55   3   1   1   1   1   0   1
0    0  56  56  56  56  56  56  81   0   3   2   3   2   3   2   3   2   3   2   3   2   3   2   1   1   3   2   1   1   1   1   1   1  55   2   1   1   1   1   0   1
88  88  88  88  88  88  88  88  81   0  56  56   1   1   8   9   9   9   9  13 102  71  71 103   1   1   2   3   2   3   2   3   2   3  55   3   2   3   2   3   0   1
81  81  81  81  81  81  81  81  81   0  80  78  77  77   7  15 239  10  11  12 104  68  68 105   1   1   3   2   3   2   3   2   3   2  55   2   3   2   3   2   0   0
81  81  81  81  81  81  81  81  81   0   2   3   1   1   1   1   1   1   1   1 108  65  65 109   1   1  70  71  71  71  71  71  71  72   2   3   1   1   2   3   1   1
0    0   0   0   0   0   0   0   0   0   3   2   1   1   1   1   1   1   1   1 110  15 113 112  77  77  67  68  68  68  68  68  68  69   3   2   1   1   3   2   1   1
56  56   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3  56  56  61  62 100 101 100 101  62  66  56  56   1   1  56  56   0   0
56  56   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2  56   5  57  58  58  58  58  58  15  60  78  78  77  79  80  78   0   1
0    0   0   0   0   0   0   1   2   3  93  93  93  93  93  93  93  93  93  93  93  93  93  93   2   3   2   3  56  56  56  56  56  56  56  56   2  55   2   3   0   1
1    1   1   1   1   1   0   1   3   2  94  94  94  94  94  94  94  94  94  94  94  94  94  94   3   2   3   2  56   5  56  56  56  56  56  56   3  55   3   2   0   1
93  93  93  93  93  93   0   1   2   3   2   3   2   3 102  71  71 103   2   3   2   3   2   3   2   3 102  71  71 103  93  93  93  93  93  93   2  55   2   3   0   1
94  94  94  94  94  94   0   1   3   2   3   2   3   2 104  68  68 105   3   2   3   2   3   2   3   2 104  68  68 105  94  94  94  94  94  94   3  55   3   2   0   1
93  93  93  93  93  93   0   1   2   3   1   1  56  56 108  65  65 109   2   3   8   9   9   9   9  13 108  65  65 109   8   9   9   9   9  13   2  55   2   3   0   1
94  94  94  94  94  94   0   1   3   2   1   1  55   5 110  15 164 112   3   2   7  10 239  10  11  12 110  15 111 112   7  10 239  10  11  12   3  55   3   2   0   1
93  93  93  93  93  93   0   1   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2  55   2   3   0   1
94  94  94  94  94  94   0   1   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3  55   3   2   0   1
93  93  93  93  93  93   0   0  76  76  76  76  76  76  76  76  76  76  56  56  76   1  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  55   2   3   0   1
94  94  94  94  94  94   0   1   1   1   1   1   1   1   1   1   1  76  55   5  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   2   0   1
93  93  93  93  93  93   0   1   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   0   1
94  94  94  94  94  94   0   1   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3   2   0   1
93  93  93  93  93  93   0   1   1   1   1   1  76   1 240 241   1  76   1   1   1   1   1   1   1   1   0   1 240 241   1   0   1   1   1   1   1   1   1   1   0   1
94  94  94  94  94  94   0   0   0   0   0   0  76   1 242 243   1  76  77  77  77  77  77  77  77  77   0   1 242 243   1   0   0   0   0   0   0   0   0   0   0   1
93  93  93  93  93  93  93  93  93  93  93  93  76   1 242 243   1  76   1   1   1   1   1   1   1   1   0   1 242 243   1   0  93  93  93  93  93  93  93  93  93  93
94  94  94  94  94  94  94  94  94  94  94  94  76   1 242 243   1  76   1   1   1   1   1   1   1   1   0   1 242 243   1   0  94  94  94  94  94  94  94  94  94  94
