NAME
Route 22
NPCS
route22-sign1 blank 12 26
INTERACTIONS
MENU:ALERT:ROUTE 1{NEWLINE}PALLET TOWN - VIRIDIAN CITY
END
TELEPORT
43 9 viridian-city 1 14
43 10 viridian-city 1 15
43 11 viridian-city 1 16
43 12 viridian-city 1 17
ENCOUNTERS
19 21 29 32 56
LEVELS
3-5
DATA
56   56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
56   56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
56   56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
56   56  56  56 102  71  71  71  71  71  71  71  71  71  71 103 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
56   56  56  56 104  68  68  68  68  68  68  68  68  68  68 105 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96 159  99  99  99  99  99  99 160  96  96  96  96  96
106 106 106 107 108  65  65  65  65  65  65  65  65  65  65 109 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   1   1   1   1   1   1 161  96  96  96  96  96
96   96  96  97 108  65  65  65  65  65  65  65  65  65  65 109 162  99  99  99  99  99  99  99  99  99  99  99  99  99  99  98  77  77  77  79  77  77 161  96  96  96  96  96
96   96  96  97 108  65  65  65  65  65  63  64  65  65  65 109   0   0 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 161  96  96  96  96  96
96   96  96  97 110 164 164 164 164 164  15  58 164 164 164 112   0   0 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 162  99  99  99  99  99
96   96  96  97 163 163 163 163 163 163 163 163 163 163 163 163   0   0   1   1   1   1   1   1  92  88  88  91 165 106 106 107   1   1   1   1   0   0   1   1   1   1   1   1
96   96  96  97 163 163 163 163 163 163 163 163 163 163 163 163   0   0  77  77  77  77  77  77  90  81  81  89 158  96  96  97  77  79  77  77   0   1   1   1   1   1   1   1
96   96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   0   0   4   4   4   4   4   4  90  81  81  89 158  96  96  97   4   4   4   4   0   1   2   3   2   3  56  56
96   96  96  97  77  77  77  77  77  77  77  77  77  79  77  77   0   0   4   4   4   4   4   4  90  81  81  89 158  96  96  97   4   4   4   4   0   1   3   2   3   2  56  56
96   96  96  97  56  56  56  56  56  56  56  56  56  56  56  56   0   0   4   4   4   4   4   4 163 163 163 163 158  96  96  97   4   4   4   4   0   1   2   3 165 106 106 106
96   96  96  97  56  56  56  56  55   5  55  55  55  55  55  55   0   0   4   4   4   4   4   4 163 163 163 163 158  96  96  97   4   4   4   4   0   1   3   2 158  96  96  96
96   96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  97   1   1   1   1   1   1   1   1 158  96  96  96
96   96  96  97  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77  77 162  99  99  98  77  77  77  79  77  77  77  77 158  96  96  96
96   96  96  97 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 158  96  96  96
96   96  96  97 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 163 158  96  96  96
96   96  96  96 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
