DATA
1  0  1  1  1  1  1  0 56 56  0  1  1  1  1  1  0  1
1  0  0  0  0  0  0  0 56 56  0  0  0  0  0  0  0  1
1  0  1  1  1  1  1  1 56 56  1  1  1  1  1  1  0  1
1  0  1  1  1  1  1 76 56 56 56 56 56 56 56 56  0  1
1  0 77 77 77 77 77 76 78 78 78 78 56 56 56 56  0  1
1 76  1  1  1  1  1 76  4  4  4  4  4  4  4  4 76  1
1 76  1  1  1  1  1 76  4  4  4  4  4  4  4  4 76  1
1 76  1  1  1  1  1 76  4  4  4  4  4  4  4  4 76  1
1 76 77 77 77 77 77 76  4  4  4  4  4  4  4  4 76  1
1 76  1  1  1  1  1  1  1  1 56 56 56 56 56 56 76  1
1 76  1  1  1  1  1  1  1  1 56 56 56 56 56 56 76  1
1 76  1  1  1  1  1  1  1  1  2  3  4  4  4  4 76  1
1 76 76 76 77 77 77 77 76 76 76 76  4  4  4  4 76  1
1  0  1  1  1  1  1  1  1  1 56 56  4  4  4  4  0  1
1  0  1  1  1  1  1  1  1  1 56 56  4  4  4  4  0  1
1  0  1  1 56 56 56 56 56 56 56 56  1  1  1  1  0  1
1  0  1  1 56 56 56 56 56 56 56 56  1  1  1  1  0  1
1  0  1  1 56 56  1  1  1  1  1  1  1  1  1  1  0  1
1  0 77 79 78 78 77 79 77 77 77 77 77 77 77 77  0  1
1  0  1  1 56 56 56 56 56 56 56 56 56 56 56 56  0  1
1  0  1  1 56 56 56 56 56 56 56 56 56 56 56 56  0  1
1  0  1  1  1  1  1  1  1  1  4  4  4  4 56 56  0  1
1  0 76 76 76 76 76 76 76 76  4  4  4  4 78 78  0  1
1  0  1  1  1  1  1  1  1  1  4  4  4  4 56 56  0  1
1  0  1  1  1  1  1  1  1  1  4  4  4  4 56 56  0  1
1  0 56 56 56 56 56 56 56 56 56 56 56 56 56 56  0  1
1  0 78 78 56 56 56  5 78 78 78 78 78 78 78 78  0  1
1 76  1  1  4  4  4  4 56 56  1  1  4  4  4  4 76  1
1 76  1  1  4  4  4  4 56 56  1  1  4  4  4  4 76  1
1 76  4  4  4  4  1  1 56 56  4  4  4  4  1  1 76  1
1  0  1  1  1  1  1  0  4  4  0  1  1  1  1  1  0  1
0  0  0  0  0  0  0  0  4  4  0  0  0  0  0  0  0  0
