NAME
Celadon City Gym
NPCS
celadon-gym-bush1 bush 2 4
INTERACTIONS
HAS_MOVE:CUT|{}{MENU:ALERT:Used CUT!|DEACTIVATE:route8-bush1}
END
celadon-gym-bush2 bush 7 5
INTERACTIONS
HAS_MOVE:CUT|{}{MENU:ALERT:Used CUT!|DEACTIVATE:route8-bush2}
END
celadon-gym-bush3 bush 5 7
INTERACTIONS
HAS_MOVE:CUT|{}{MENU:ALERT:Used CUT!|DEACTIVATE:route8-bush3}
END
celadon-gym-board1 blank 3 15
INTERACTIONS
MENU:ALERT:CELADON CITY{NEWLINE} POK{e-accent}MON GYM LEADER: ERIKA|MENU:ALERT:WINNING TRAINERS: {RIVAL_NAME}|NO_ADVANCE
MENU:ALERT:CELADON CITY{NEWLINE} POK{e-accent}MON GYM LEADER: ERIKA|MENU:ALERT:WINNING TRAINERS: {PLAYER_NAME}{NEWLINE}{RIVAL_NAME}
END
celadon-gym-board2 blank 6 15
INTERACTIONS
MENU:ALERT:CELADON CITY{NEWLINE} POK{e-accent}MON GYM LEADER: ERIKA|MENU:ALERT:WINNING TRAINERS: {RIVAL_NAME}|NO_ADVANCE
MENU:ALERT:CELADON CITY{NEWLINE} POK{e-accent}MON GYM LEADER: ERIKA|MENU:ALERT:WINNING TRAINERS: {PLAYER_NAME}{NEWLINE}{RIVAL_NAME}
END
TELEPORT
4 18 celadon-city 15 32
5 18 celadon-city 15 32
DATA
336 336 336 336 336 336 336 336 336 336
625 625 625 625 625 625 625 625 625 625
621 622 624 624 624 624 624 624 621 622
621 622 624 623 623 623 623 624 621 622
621 622 623 623 621 622 623 624 621 622
621 622 624 623 621 622 623 623 621 622
621 622 624 623 623 623 623 624 621 622
621 622 624 624 624 623 624 624 621 622
621 622 624 624  47  47 624 624 621 622
621 622 624 624  47  47 624 624 621 622
623 623  47  47  47  47  47  47 623 623
624 623  47  47  47  47  47  47 623 624
621 622 624 624  47  47 624 624 621 622
621 622 624 624  47  47 624 624 621 622
47   47  47 199  47  47 199  47  47  47
47   47  47 200  47  47 200  47  47  47
47   47  47  47  47  47  47  47  47  47
47   47  47  47  54  54  47  47  47  47
82   82  82  82 166 166
