NAME
Safari Zone East
NPCS
safari-zone-east-item1 orb 21 13
INTERACTIONS
GIVE_ITEM:CARBOS|DEACTIVATE:safari-zone-east-item1
END
safari-zone-east-item2 orb 16 12
INTERACTIONS
GIVE_ITEM:TM37|DEACTIVATE:safari-zone-east-item2
END
safari-zone-east-item3 orb 4 7
INTERACTIONS
GIVE_ITEM:MAX POTION|DEACTIVATE:safari-zone-east-item3
END
safari-zone-east-item4 orb 22 10
INTERACTIONS
GIVE_ITEM:FULL RESTORE|DEACTIVATE:safari-zone-east-item4
END
TELEPORT
0 21 safari-zone-main 30 11
0 22 safari-zone-main 30 11
0 23 safari-zone-main 30 12
0 24 safari-zone-main 30 12
ENCOUNTERS
30 33 47 85 102 105 113 115 123 127 128
MEGA_ENCOUNTERS
133
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
55 79 99 147
LEVELS
36-42
MEGA_LEVELS
5-5
DATA
82  169 169 685 685 685 685 685 685 169 169 169 169 169 169 169 169 169 169 169 169 685 685 169 169 169 169 169 169 169 169
82  169 684 684 684 684 684 684 684 186 186 186 186 186 186 186 186 186 186 186 186 684 684 186 186 186 186 186 186 684 169
82  169 684 684 684 684 684 684 684 186 186 177 178 177 178 177 178 186 186 684 684 684 186 177 178 177 178 177 178 186 169
82  169 169 685 685 685 685 684 684 684 186 179 178 179 178 179 178 186 684 684 684 186 186 179 178 179 178 179 178 186 169
166 690 684 684 684 684 684 699 684 684 684 165 106 106 106 106 106 106 106 106 107 186 186 177 178 177 178 177 178 186 169
166 691 684 684 684 684 684 684 684 684 684 158  96  96  96  96  96  96  96  96  97 684 186 179 178 179 178 179 178 186 169
82  169 169 685 685 685 685 685 685 685 685 158  96  96  96  96  96  96  96  96  97 186 186 186 186 186 186 186 186 684 685
82  169 684 684 684 684 684 684 684 684 684 162  99 711  99  99  99  99 711  99  98 684 186 684 186 186 684 186 684 684 685
82  685 684 684 186 712 712 712 712 186 684 684 684 684 684 171 172 687 684 684 684 687 684 684 684 702 703 703 704 684 685
82  685 684 186 186 712 712 712 712 186 186 684 684 684 684 173 174 684 684 684 688 684 684 684 688 705 708 709 707 684 685
82  169 186 712 712 177 178 177 178 713 712 684  92  88  88  88  88  88  88  88  91 684 684 684 684 684 684 699 684 684 685
82  169 186 712 712 179 178 179 178 714 715 684  90  81  81  81  81  81  81  81  89 684 684 684 684 684 684 684 684 684 685
82  169 186 712 712 177 178 177 178 712 712 177 178 177 178 177 178 693  81 716 106 106 106 106 106 106 106 106 107 171 172
82  169 186 712 712 179 178 179 178 712 712 179 178 179 178 179 178  90  81 158  96  96  96  96  96  96  96  96  97 173 174
82  685 684 186 186 712 712 712 712 186 186 684  92  88  88  88  88  86  81 158  96  96  96  96  96  96  96  96  97 171 172
82  685 684 684 186 712 712 712 712 186 684 684  90  81  81  81  81  81  81 162  99 160  96  96 159 711  99  99  98 173 174
82  169 684 684 684 684 684 687 684 684 684 684  90  81  81  81  81  81  81  81  81 158  96  96  97 687 684 684 684 684 685
82  169 169 685 685 685 685 684 684 684 684 684  90  81  81  81  81  81  81  81  81 158  96  96  97 684 684 684 684 684 685
82  171 172 171 172 171 172 685 684 687 684 165 106 106 106 106 106 106 106 106 106 106  96  96  97 684 684 684 684 684 685
82  173 174 173 174 173 174 685 684 684 684 158  96  96  96  96  96  96  96  96  96  96  96  96  97 684 684 684 684 684 685
82  685 685 685 685 685 685 685 684 687 684 158  96  96  96  96  96  96  96  96  96  96  96  96  97 177 178 186 684 684 685
166 684 684 684 684 684 684 685 684 684 684 162  99 711  99  99  99  99  99  99  99 711  99  99  98 179 178 186 186 684 685
166 690 684 687 684 684 684 685 684 684 684 684 684 684 684 684 684 685 684 186 186 177 178 177 178 177 178 186 186 684 685
166 691 684 684 684 684 699 169 169 685 685 685 685 685 685 685 685 685 684 684 186 179 178 179 178 179 178 186 684 684 685
166 684 684 684 684 684 684 684 684 684 684 684 684 684 684 186 186 186 186 186 186 186 186 186 186 186 186 684 684 684 169
82  685 685 685 685 685 685 685 685 685 685 685 685 685 685 169 169 169 169 169 169 169 169 169 169 169 169 685 685 169 169
