NAME
Route 9
NPCS
cerulean-city-guy1 man2 10 23 WANDER
INTERACTIONS
MENU:ALERT:You're making an encyclopedia on POK{e-accent}MON? That sounds amusing.
END
TRAINERS
cerulean-city-rocket 35 0.3 0.3 ROCKET rocket.png {ROCKET: Stop! I give up! I'll leave quietly!}{} 23-66:17|96-96:17
END
TELEPORT
0 10 cerulean-city 43 18
0 11 cerulean-city 43 19
ENCOUNTERS
19 21 23 27 29 32 43 69
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
54 98 118
LEVELS
14-20
DATA
106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
99   99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99 160  96  96 159  99  99  99  99  99  99  99  99  99  99  99  99  99  99 160  96  96  96  96  96  96 159
93   93  93   1   0   4   4   4   4   4   4   4   4   4   4   1   1   1   1   1   1   1   1   1   1 165 106 106 107   4   4   4   4 158  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  96  96  97
94   94  94   1   0   4   4   4   4   4   4   4   4   4   4   1   1   1   1   1   1   1   1   1   1 158  96  96  97   4   4   4   4 158  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  96  96  97
93   93  93   1   0   4   4   4   4   4   4   4   4   4   4 165 106 106 107   1   1   1   1   1   1 158  96  96  97   1   1   1   1 158  96  96  97   1   1   1   1   1   1   1   1 165 106 106 107   1   1 158  96  96  96  96  96  96  97
94   94  94   1   0   4   4   4   4   4   4   4   4   4   4 158  96  96  97  77  77  77  77  77  79 158  96  96  97  77  79  77  77 162  99  99  98  77  79  77  77  77  77  77  77 158  96  96  97  77  77 158  96  96  96  96  96  96  97
1     1   1   1   0   1   1   1   1   1   1   1   1   1   1 158  96  96  97  56  56  56  56  56  56 158  96  96  97  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56 158  96  96  97  56  56 158  96  96  96  96  96  96  97
0     0   0   0   0  77  77  77  77  77  77  77  77  76   1 158  96  96  97  56  56  56  56  56   5 162  99  99  98  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56 162  99  99  98  56  56 162  99  99  99  99  99  99  98
1     1   1   1   1  56  56  56  56  56  56  56  56 165 106  96  96  96  97  56  56  56  56  56  56   1   1   1   1 165 106 106 107  56  56 165 106 106 107  56  56 165 106 106 107  56  56  56  56  56  56  56  56  56  56  56  56  56  56
1     1   1  76   1  56  56  56  56  56  56  56  56 158  96  96  96  96  97  78  78  78  78  78  78  77  77  77  79 158  96  96  97  56  56 158  96  96  97  56  56 158  96  96  97  56  56  56  56  56  56  56  56  56  56  56  56  56  56
0     0   0   0   0 165 106 106 107  56  56  56  56 158  96  96  96  96  97  56  56  56  56  56  56  56  56   1   1 158  96  96  97   1   1 158  96  96  97   1   1 158  96  96  97  56  56 165 106 106 107  56  56 165 106 106 106 106 106
1     1   1   1   0 158  96  96  97  78  78  78  78 162  99  99  99  99  98  56  56  56  56  56  56  56  56   1   1 162  99  99  98  77  77 162  99  99  98  77  79 158  96  96  97  78  78 158  96  96  97  78  78 158  96  96  96  96  96
93   93  93   1   0 158  96  96  97   1   1   1   1   1   1   1   1   1   1  56  56  56  56 165 106 106 107   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  97  56  56 158  96  96  97  56  56 158  96  96  96  96  96
94   94  94   1   0 158  96  96  97  77  77  77  77  77  77  77  77  77  79  78  78  78  78 158  96  96  97  77  79  77  77  77  77  77  77  77  77  77  77  77  77 162  99  99  98  78  78 162  99  99  98  78  78 158  96  96  96  96  96
93   93  93   1   0 158  96  96  97  56  56  56  56  56  56  56  56  56  56  56  56  56  56 158  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  96
94   94  94   1   0 158  96  96  97  56  56  56  56  56  56  56  56  56  56  56  56  56  56 158  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  96
93   93  93   1   0 158  96  96  96 106 106 106 106 106 106 106 106 106 106 106 106 106 106  96  96  96  96 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106 106  96  96  96  96  96  96
94   94  94   1   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
76   76  76   1   0 158  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96
