NAME
Saffron City Gym
NPCS
saffron-dojo-board1 blank 3 9
INTERACTIONS
MENU:ALERT:FIGHTING DOJO
END
TRAINERS
saffron-dojo-tough1 25 0.65 0.65 BLACKBELT blackbelt.png {BLACKBELT: Oof! I give up!}{} 75-67:35|111-57:35|38-67:35:KARATE CHOP,FLAMETHROWER,LEER,TAIL WHIP
END
TELEPORT
8 18 saffron-city 43 11
9 18 saffron-city 43 11
DATA
597 597 597 597 597 597 594 597 597 597 597 597 597 595 597 597 597 597 597 597
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 600 638 600 638 600 599 600 638 600 600 600 638
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 600 638 600 638 600 599 600 638 600 600 600 638
597 597 597 597 597 597 594 597 597 597 597 597 597 595 597 597 597 597 597 597
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 600 600 600 600 600 599 600 638 600 600 600 638
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 600 600 600 638 600 599 600 638 600 600 600 638
597 597 597 597 597 597 594 597 597 597 597 597 597 595 597 597 597 597 597 597
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 600 600 600 600 600 599 600 600 643 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 600 644 600 638 600 599 600 638 600 600 600 638
600 600 600 600 600 600 599 600 600 600 600 600 600 599 600 600 600 600 600 600
600 638 600 600 600 638 599 600 603 605 600 600 600 599 600 638 600 600 600 638
82   82  82  82  82  82  82  82 166 166
