NAME
Route 3
NPCS
route2-sign1 blank 14 74
INTERACTIONS
MENU:ALERT:TRAINER TIPS|MENU:ALERT:Catch POK{e-accent}MON and expand your collection!|MENU:ALERT:The more you have, the easier it is to fight!
END
TELEPORT
0 9 pewter-city 38 20
0 10 pewter-city 38 21
0 11 pewter-city 38 22
0 12 pewter-city 38 23
ENCOUNTERS
10 13 16 19 21 27 39 46 56 74
LEVELS
6-12
DATA
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   3   2   3   2   3   2   3   2 158  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  76   1   2   3   2   3   2   3 158  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97  76   1   3   2   3   2   3   2 158  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  96  97   1   1   2   3   2   3   2   3 158  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96 159  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99 160  96  96  96  96 159  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99 160  96  96  96  96  97   1   1   3   2   3   2   3   2 158  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  93  93 158  96  96  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  97   1   1   2   3 165 106 106 106  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  94  94 158  96  96  96  96  97   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  97   1   1   3   2 158  96  96  96  96  96  96  96  96  96  96  96
96   96  96  96  96  96  96  96  96  97   1   1   1   1   1   1   1  76   1   1   1   1   1  76   1   1   1   1 158  96  96  96  96  97   1   1   1   1 165 106 106 106 106 107   1   1   1   1   1   1 158  96  96  96  96  97   1   1   1   1 158  96  96  96  96  96  96  96  96  96  96  96
99   99  99  99  99  99  99  99  99  98  77  79  77  77  77  77  77  76  77  77  77  77  77  76  77  77  77  79 162  99  99  99  99  98  77  77  77  79 158  96  96  96  96  97  77  77  77  77  77  79 158  96  96  96  96  97  77  77  77  79 162  99  99  99  99  99 160  96  96  96  96  96
2     3   1   1   0   1   1   1   1   1   1   1   1   1   1   1   1  76   1   1   1   1   1  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  97   1   1   1   1   1   1 158  96  96  96  96  97   1   1  56  56   4   4   4   4   4   4 158  96  96  96  96  96
3     2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  76   1   1   1   1   1  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1 158  96  96  96  96  97   1   1   1   1   1   1 162  99  99  99  99  98   1   1  55   5   4   4   4   4   4   4 158  96  96  96  96  96
2     3   1   1   1   1   1   1   1  76   1   1   1   1   1   1   1  76   1   1   1   1   1  76   4   4   4   4   4   4   4   4   4   4   4   4   4   4 158  96  96  96  96  97  93  93  93  93   1   1   1   1   1   1   1   1   1   1   4   4   4   4   4   4   4   4 158  96  96  96  96  96
3     2   1   1   0   1   1   1   1  76  77  77  77  77  77  79  77  76  77  77  77  77  77  76   4   4   4   4   4   4   4   4   4   4   4   4   4   4 158  96  96  96  96  97  94  94  94  94   1   1   1   1   1   1   1   1   1   1   4   4   4   4   4   4   4   4 158  96  96  96  96  96
106 106 106 106 106 106 106 106 106 107   1   1   1   1   1   1   1   1   1   1   1   1   1  76   4   4   4   4   4   4   4   4   4   4   4   4   4   4 158  96  96  96  96  97  93  93  93  93  93  93   1   1   1   1   1   1   1   1   4   4   4   4   4   4   4   4 158  96  96  96  96  96
