NAME
Indigo Pok{e-accent}center
TELEPORT
8 12 indigo-plateau 5 5
9 12 indigo-plateau 6 5
DATA
119 119 118 118 128 128 128 128 140 128
121 121 120 120 123 123 123 123 123 123
122 123 123 123 123 123 123 123 123 123
124 125 123 123 787 788 788 788 788 788 788 788 788 788 788 788 788 788
128 129 123 123 134 135 136 137 138 134 135 136 139 139 140 139 140 139
122 130 123 123 134 141 142 143 123 134 144 145 123 123 123 123 123 123
131 132 123 123 146 147 148 149 148 146 148 148 148 148 150 123 150 148
122 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 123 151
124 125 124 125 123 123 123 123 123 123 123 123 123 123 123 123 123 154
126 127 126 127 123 123 123 123 123 123 123 123 123 123 123 123 123 123
122 123 123 123 123 123 123 123 123 123 123 123 123 123 789 789 789 789
122 123 123 123 123 123 123 123 133 133 123 123 123 123 790 790 790 790
82   82  82  82  82  82  82  82 166 166
