NAME
Route 8
NPCS
route8-sign1 blank 17 6
INTERACTIONS
MENU:ALERT:UNDERGROUND PATH CELADON CITY - LAVENDER TOWN
END
TELEPORT
6 16 route7-tunnel 3 7
ENCOUNTERS
1
LEVELS
16-22
DATA
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
163  56  56  56  56  56  56  56 254   4   4   4   4   4   4   4   4   2  55 482 482 482 482
163  56  56  56  56  56  56  56 254   4   4   4   4   4   4   4   4   3  55 482 482 482 482
0     0   0  56  56  56  56  56 254   4   4   4   4   4   4  93  93   2  55 482 482 482 482
0     0   0  56  56  56  56  56 254   4   4   4   4   4   4  94  94   3  55 482 482 482 482
0     0   0  56  56  56  56  56 254  93  93  56  56  56  56  56  56   2  55 482 482 482 482
0     0   0  78  78  80  78  78 256  94  94  56  56  56  56  56  56   3  55 482 482 482 482
0     0   0  56  56  56  56  56  56  56  56   2  55 102  71  71  71  71 103   2   3   2   3
0     0   0  56  56  56  56  56  56  56  56   3  55 104  68  68  68  68 105   3   2   3   2
0     0   0  56  56 102  71  71 103  56  56  56  56 453  65  65  65  65 455  56  56  56  56
0     0   0  78  78 104  68  68 105  78  80  78  78 110 164 164 164 164 112  55  55  55  55
0     0   0  56  56 108  65  65 109  56  56  56  56  56  56  56  56   2  55 482 482 482 482
0     0   0  56   5 110  15 164 112  56  56  56  56  56  56  56  56   3  55 482 482 482 482
0     0   0  56  56  56  56  56  56  56  56  56  56  56  56  56  56   2  55 482 482 482 482
0     0   0  56  56  56  56  56  56  56  56  56  56  56  56  56  56   3  55 482 482 482 482
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
